levelName;correct;score
hospital-outside;10;1000
supermarket;9;250
school-outside;10;900
supermarket;10;950
hospital-outside;9;900
school-outside;11;1100
supermarket;13;1200
hospital-outside;14;1400
school-outside;9;900
supermarket;7;-2450
supermarket;11;1100
hospital-outside;11;900
school-outside;11;1000
supermarket;11;1100
hospital-outside;10;800
supermarket;2;-700
school-outside;8;200
hospital-outside;11;1050
supermarket;11;950
school-outside;12;1150
hospital-outside;10;600
supermarket;12;1100
school-outside;8;600
supermarket;9;550
hospital-outside;11;1050
school-outside;14;1400
supermarket;11;800
hospital-outside;14;1400
school-outside;14;1150
supermarket;12;750
hospital-outside;14;1350
school-outside;9;900
supermarket;9;750
hospital-outside;10;850
school-outside;15;1500
supermarket;12;1100
hospital-outside;11;1100
school-outside;12;1200
supermarket;13;1250
hospital-outside;12;1150
school-outside;12;1100
supermarket;10;-1900
hospital-outside;10;650
school-outside;8;750
supermarket;9;450
hospital-outside;11;1050
school-outside;12;1200
supermarket;12;1200
hospital-outside;13;1200
school-outside;13;1300
supermarket;9;-1250
hospital-outside;2;-5500
school-outside;2;-6250
supermarket;11;600
hospital-outside;10;100
school-outside;7;-400
supermarket;10;600
hospital-outside;11;950
school-outside;14;1400
supermarket;13;1250
hospital-outside;11;1050
school-outside;11;1000
